firm_raw,firm,decision,note
ADOBE,Adobe,merge,"case only. The all-caps spelling is an artifact of the Spinellis SEC/Fortune source, which carries filing names in upper case; Adobe styles itself Adobe."
Alibaba Group,Alibaba,merge,"generic corporate-group word dropped (C2). linux.alibaba.com is `Alibaba` from the curated `patch` source; alibaba-inc.com is `Alibaba Group`."
AMDOCS,Amdocs,merge,"case only; all-caps is the SEC filing form (amdocs.com, spinellis-sec)."
Arm Software,ARM,merge,"`Software` is Arm's engineering-group/GitHub-org label, not a separate company. arm.com is `ARM` in the curated gitdm map."
B1 Systems GmbH,B1 Systems,merge,"legal-form suffix dropped (C2). Same firm as b1-systems.de."
Chef Software,Chef,merge,"same firm. getchef.com and opscode.com are `Chef` in the curated gitdm map; chef.io is `Chef Software`. Opscode renamed itself Chef."
Cisco Systems,Cisco,merge,"Cisco Systems, Inc. is the legal name of Cisco. cisco.com is `Cisco` in the curated gitdm map, so the curated spelling wins (C3). 20 map rows carry the long form."
Citrix Systems,Citrix,merge,"Citrix Systems, Inc. is the legal name of Citrix. citrix.com is `Citrix` in the curated gitdm map (C3)."
Cybercom Group,Cybercom,merge,"generic corporate-group word dropped (C2). cybercom.com and cybercom.fi are `Cybercom` in the curated gitdm map."
DAILYMOTION,Dailymotion,merge,"case only. dailymotion.com is `Dailymotion` in the curated gitdm map."
Dynatrace LLC,Dynatrace,merge,"legal-form suffix dropped (C2)."
Elasticsearch,Elastic,merge,"documented rename (C4): Elasticsearch B.V. renamed itself Elastic. elastic.co is `Elastic`, SEC-verified. NOT merged with `ElasticBox`, which is a different company."
F5 NETWORKS,F5 Networks,merge,"case only; all-caps is the SEC filing form (f5.com, spinellis-sec)."
International Business Machines,IBM,merge,"one firm spelled two ways: `IBM` for ibm.com, de.ibm.com, linux.ibm.com, us.ibm.com and ozlabs.org (curated patch/gitdm), `International Business Machines` for 44 other rows including the country subdomains. No suffix rule finds this pair; it is a hand addition, and it is the largest single split in the map."
